albums,dates,peak_position
"
                                    DANGEROUSLY IN LOVE
                                ","

                            05.07.
                            
                            2003
                        ",01
"
                                    B'DAY
                                ","

                            16.09.
                            
                            2006
                        ",03
"
                                    B'DAY
                                ","

                            05.05.
                            
                            2007
                        ",08
"
                                    I AM SASHA FIERCE
                                ","

                            29.11.
                            
                            2008
                        ",02
"
                                    4
                                ","

                            09.07.
                            
                            2011
                        ",01
"
                                    BEYONCE
                                ","

                            21.12.
                            
                            2013
                        ",02
"
                                    BEYONCE - PLATINUM EDITION MORE
                                ","

                            06.12.
                            
                            2014
                        ",41
"
                                    LEMONADE
                                ","

                            05.05.
                            
                            2016
                        ",01
"
                                    HOMECOMING - THE LIVE ALBUM
                                ","

                            25.04.
                            
                            2019
                        ",25
